iter	Passed	Remaining
325	17382	35937
326	17433	35880
327	17481	35816
328	17533	35758
329	17583	35699
330	17634	35642
331	17686	35586
332	17738	35529
333	17787	35467
334	17834	35403
335	17882	35339
336	17931	35278
337	17982	35219
338	18028	35152
339	18079	35094
340	18131	35040
341	18180	34978
342	18227	34913
343	18274	34848
344	18320	34781
345	18367	34717
346	18418	34661
347	18467	34599
348	18521	34548
349	18568	34484
350	18614	34419
351	18672	34374
352	18724	34319
353	18776	34265
354	18825	34204
355	18880	34154
356	18926	34089
357	18974	34027
358	19024	33967
359	19076	33912
360	19126	33855
361	19174	33794
362	19224	33736
363	19279	33686
364	19332	33632
365	19386	33581
366	19436	33523
367	19484	33462
368	19537	33409
369	19588	33352
370	19641	33301
371	19689	33239
372	19739	33181
373	19791	33127
374	19839	33065
375	19887	33004
376	19938	32948
377	19989	32893
378	20036	32830
379	20083	32767
380	20133	32710
381	20183	32652
382	20228	32587
383	20276	32526
384	20328	32473
385	20378	32415
386	20430	32361
387	20481	32306
388	20536	32256
389	20588	32203
390	20638	32145
391	20689	32089
392	20736	32027
393	20787	31972
394	20841	31921
395	20890	31863
396	20940	31806
397	20991	31751
398	21039	31691
399	21090	31635
