,geocode_query,lat,lon
196,"Алматы, ул. Абиша Кекилбайулы 119А",43.2112485,76.8880771
197,"Алматы, Каныша Сатпаева 90/55Б",,
198,"Астана, Шаймерден Косшыгулулы 4",51.1723068,71.3744716
199,"Алматы, ул. Ташена Утепова 31блок2",,
200,"Астана, Туран 57 а",51.106896,71.3963974
201,"Астана, Е-36 11",51.1262099,71.3836769
202,"Астана, Ч. Айтматова 21",,
203,"Астана, Сарайшык 34а",51.1331421,71.4323719
204,"Алматы, мкр. Шугыла 340/3 - 340/3к17, 340/8 - 340/8 к5",,
205,"Астана, Кенен Азербаев 47",,
206,"Астана, Ш Қалдайақов 59 А",,
207,"Шымкент, Каратауский район, 192 квартал, мкр. Туран 359/34",,
208,"Астана, Карашаш ана",51.1449595,71.3985845
209,"Алматы, мкр Акбулак, 1-я улица",,
210,"Астана, Е15 16",,
211,"Астана, Бауыржан Момышулы 16",51.1407676,71.4829763
212,"Астана, Кобланды батыра 7",,
213,"Алматы, Ул.Абдуллиных 16",43.2622445,76.9598599
214,"Астана, Улы Дала 58/1",51.0957664,71.4137227
215,"Астана, Бейбарыс Султан 25/4",51.1728973,71.3594164
216,"Астана, ул. Жанайдара Жирентаева 14",,
217,"Шымкент, К. Толеметова 64/2",42.278997,69.6502703
218,"Астана, Туран 39/2",51.1030123,71.3959146
219,"Астана, Турар Рыскулов 3",,
220,"Шымкент, Просп. Байдибек би 127/7",42.3420417,69.60711
221,"Астана, Б. Момышулы 23",,
222,"Астана, Туран 46/6",51.1108453,71.4017339
223,"Астана, Мукан Тулебаев 5",,
224,"Астана, Мкр. Самал 9",,
225,"Алматы, Серкебаева 99",43.2051795,76.8990197
226,"Алматы, мкр Шугыла, Мкр. Шугыла 340/4 к17",,
227,"Астана, Чингиз Айтматов 77, 77/1, 77/2, 77/3, 77/4",,
228,"Алматы, мкр Таугуль, Жандосова",,
229,"Астана, Тауелесиздык 14",,
230,"Алматы, Коктерек",43.1518922,77.0137328
231,"Астана, Кабанбай Батыра 13",51.1382273,71.4149111
232,"Астана, Кабанбай батыра 43В",51.1137486,71.4069065
233,"Астана, А108 30",,
234,"Астана, Сыганак 28",51.1289594,71.388747
235,"Астана, Богенбай батыра",51.1756766,71.3977955
236,"Астана, Гейдара Алиева 2",51.0965532,71.4109643
237,"Алматы, Панфилова 57",43.2661016,76.9432048
238,"Алматы, мкр Акбулак, Сейдолла Байтереков 73",,
239,"Алматы, мкр. Аксай-4 122",,
240,"Астана, Улы Дала 65/2",50.2590518,57.1038533
241,"Шымкент, 17-й микрорайон, 17-й микрорайон 2",,
242,"Астана, Мангилик Ел Е496",,
243,"Алматы, Солодовникова 21",43.2337929,76.8928718
244,"Астана, Санжара Асфендиярова 8",51.1343843,71.381576
245,"Астана, Сарайшык 9",51.1350895,71.4298556
246,"Астана, Достык 10/1",51.1267292,71.424982
247,"Астана, Бухар жырау 12/1",51.097173,71.447727
248,"Алматы, Аль-Фараби 21",43.2137556,76.9403021
249,"Астана, Айтматова 40",51.1412467,71.3660403
250,"Алматы, Кисловодская 40",43.2540044,76.8559747
251,"Алматы, Ер Тостык 3",43.1928083,76.8078742
252,"Алматы, мкр Коктем-3 3",,
253,"Астана, Кайым Мухамедханов 6/1",,
254,"Астана, Абая 11",51.184062,71.357306
255,"Алматы, мкр №4 19",,
256,"Алматы, Рыскулбекова",43.2037832,76.8672758
257,"Алматы, мкр №11 33",,
258,"Астана, Айнаколь 66",51.1284448,71.4867693
259,"Астана, Казыбек Би 37",51.100809,71.3842299
260,"Астана, Акмешит 5",51.1187659,71.4228089
261,"Алматы, Ауэзова 2/4",43.2301515,76.9052433
262,"Шымкент, 8-й микрорайон, 8-й микрорайон 6",,
263,"Алматы, Достык 250",43.2217718,76.9636958
264,"Шымкент, Байдибек би 2/1",42.3512194,69.6145014
265,"Астана, Толе Би 35/1",51.108916,71.3894782
266,"Астана, Бухар жырау 20Б",51.1024903,71.4034939
267,"Астана, Сауран 20",51.1115684,71.4170603
268,"Астана, Просп. Рахимжана Кошкарбаева 56",51.1301381,71.5031112
269,"Алматы, Ади Шарипова 145",43.2442563,76.9230861
270,"Астана, Мәңгілік Ел 22",51.1157903,71.4350757
