iter	Passed	Remaining
609	35685	22815
610	35743	22756
611	35796	22694
612	35854	22635
613	35914	22578
614	35965	22515
615	36021	22454
616	36074	22393
617	36131	22333
618	36188	22274
619	36244	22214
620	36297	22152
621	36355	22093
622	36409	22032
623	36462	21970
624	36515	21909
625	36571	21849
626	36624	21787
627	36678	21726
628	36734	21666
629	36787	21605
630	36843	21545
631	36897	21484
632	36956	21426
633	37011	21366
634	37069	21307
635	37138	21255
636	37195	21196
637	37253	21137
638	37308	21077
639	37363	21016
640	37418	20956
641	37488	20904
642	37545	20845
643	37601	20785
644	37662	20728
645	37717	20668
646	37772	20608
647	37825	20547
648	37883	20488
649	37939	20429
650	37994	20368
651	38048	20308
652	38100	20246
653	38155	20186
654	38216	20129
655	38272	20069
656	38323	20007
657	38385	19951
658	38450	19896
659	38512	19839
660	38586	19789
661	38651	19734
662	38716	19679
663	38778	19622
664	38849	19570
665	38915	19516
666	38967	19454
667	39023	19394
668	39079	19335
669	39143	19279
670	39205	19222
671	39265	19165
672	39329	19109
673	39387	19050
674	39450	18994
675	39506	18935
676	39560	18874
677	39614	18814
678	39667	18753
679	39723	18693
680	39778	18633
681	39836	18574
682	39898	18517
683	39966	18464
684	40025	18405
685	40090	18350
686	40156	18295
687	40223	18241
688	40282	18182
689	40343	18125
690	40403	18067
691	40457	18006
692	40510	17946
693	40563	17885
694	40621	17826
695	40674	17765
696	40731	17706
697	40787	17647
698	40842	17587
699	40896	17526
700	40922	17454
701	40974	17393
702	41043	17339
703	41096	17279
704	41149	17218
705	41204	17158
706	41258	17098
707	41319	17041
708	41381	16984
709	41445	16928
710	41517	16875
711	41579	16818
712	41647	16763
713	41701	16703
714	41760	16645
715	41834	16593
716	41889	16533
717	41942	16473
718	41996	16413
719	42063	16358
720	42120	16298
721	42178	16240
722	42238	16182
723	42295	16123
724	42354	16065
725	42417	16008
726	42474	15949
727	42529	15890
728	42586	15831
729	42644	15772
730	42701	15713
731	42753	15653
732	42814	15595
733	42868	15535
734	42922	15475
735	42975	15414
736	43031	15355
737	43086	15296
738	43140	15236
739	43193	15176
740	43254	15118
741	43306	15058
742	43360	14998
743	43420	14940
744	43480	14882
745	43534	14822
746	43586	14762
747	43637	14701
748	43690	14641
749	43745	14581
750	43797	14521
751	43852	14461
752	43911	14403
753	43964	14343
754	44017	14283
755	44070	14223
756	44130	14166
757	44181	14105
758	44235	14045
759	44289	13986
760	44345	13927
761	44406	13869
762	44459	13809
763	44513	13750
764	44567	13690
765	44622	13631
766	44677	13572
767	44736	13514
768	44792	13455
769	44846	13395
770	44913	13340
771	44966	13280
772	45021	13220
773	45074	13161
774	45131	13102
775	45186	13043
776	45245	12985
777	45311	12929
778	45369	12871
779	45428	12813
780	45483	12753
781	45540	12695
782	45594	12636
783	45647	12576
784	45700	12516
785	45755	12457
786	45808	12398
787	45868	12340
788	45921	12280
789	45973	12220
790	46027	12161
791	46083	12102
792	46136	12043
793	46191	11984
794	46257	11928
795	46313	11869
796	46375	11812
797	46449	11758
798	46525	11704
799	46590	11647
800	46670	11594
801	46723	11535
802	46776	11475
803	46827	11415
804	46889	11358
805	46959	11302
806	47021	11245
807	47080	11187
808	47142	11130
809	47218	11075
810	47309	11025
811	47373	10968
812	47442	10912
813	47503	10854
814	47570	10798
815	47645	10743
816	47704	10685
817	47761	10626
818	47818	10568
819	47875	10509
820	47939	10452
821	48004	10395
822	48072	10338
823	48137	10281
824	48196	10223
825	48259	10166
826	48328	10109
827	48391	10052
828	48458	9995
829	48523	9938
830	48599	9883
831	48683	9830
832	48757	9774
833	48843	9721
834	48907	9664
835	48979	9608
836	49041	9550
837	49106	9493
838	49173	9436
839	49244	9379
840	49326	9325
841	49398	9269
842	49471	9213
843	49537	9156
844	49603	9098
845	49686	9044
846	49762	8988
847	49830	8931
848	49911	8877
849	49979	8819
850	50058	8764
851	50124	8707
852	50189	8649
853	50251	8590
854	50314	8532
855	50366	8472
856	50423	8413
857	50476	8353
858	50531	8294
859	50587	8235
860	50645	8176
861	50705	8117
862	50761	8058
863	50815	7998
864	50875	7940
865	50928	7880
866	51011	7825
867	51075	7767
