iter	RMSE
489	0.1314472952
490	0.1313596699
491	0.131303664
492	0.1312544329
493	0.1312073218
494	0.1312055361
495	0.1311613553
496	0.1311373734
497	0.1310916559
498	0.1310408585
499	0.1310239487
500	0.1309821562
501	0.1308565302
502	0.130831301
503	0.1308261987
504	0.1307627879
505	0.1307282662
506	0.1306922833
507	0.1306630259
508	0.1306008776
509	0.1305897553
510	0.1305280179
511	0.1304494816
512	0.1304424534
513	0.1304362273
514	0.1304154613
515	0.1303357608
516	0.1303335
517	0.1302822322
518	0.1302609288
519	0.1302060966
520	0.1301360736
521	0.1300741691
522	0.1300147148
523	0.1299866924
524	0.1299523387
525	0.1299022899
526	0.1298540839
527	0.1297694854
528	0.1297669587
529	0.129716793
530	0.1296865633
531	0.1295905032
532	0.1295598408
533	0.1295202318
534	0.1294804491
535	0.1294626501
536	0.1294066506
537	0.1293272774
538	0.1293040319
539	0.1292383321
540	0.1292183852
541	0.1292108231
542	0.1291255624
543	0.129024167
544	0.12897122
545	0.1288881218
546	0.1288301567
547	0.1287612345
548	0.1286775441
549	0.1286071558
550	0.1285953138
551	0.1285915335
552	0.1284981438
553	0.1284416764
554	0.1283435901
555	0.1282976733
556	0.1282802585
557	0.1282250356
558	0.128206948
559	0.1281928142
560	0.1281534065
561	0.1280734715
562	0.1280511479
563	0.1279934937
564	0.1279259809
565	0.1279247592
566	0.1278646791
567	0.1278191117
568	0.127754081
569	0.127629812
570	0.127562988
571	0.1275608335
572	0.127521315
573	0.1274705115
574	0.1274454172
575	0.1273964396
576	0.1272667159
577	0.127222227
578	0.1272199231
579	0.1271929457
580	0.12710639
581	0.1270810292
582	0.1270298111
583	0.1269920203
584	0.1269605994
585	0.1268806043
586	0.1268300254
587	0.1268000234
588	0.1267566729
589	0.1267152788
590	0.1266416929
591	0.126588522
592	0.1265455581
593	0.1265308801
594	0.1264929102
595	0.1264437182
596	0.1264016742
597	0.1263750706
598	0.1262855203
599	0.1262253264
600	0.1261599206
601	0.1261126772
602	0.1261110926
603	0.1260547981
604	0.1260105541
605	0.1259738476
606	0.1259724145
607	0.1259148607
608	0.1258892224
609	0.1258333391
610	0.1257203277
611	0.1256455277
612	0.1256288998
613	0.1255738765
614	0.1254894251
615	0.1254726315
616	0.1254497085
617	0.1253907708
618	0.1253607152
619	0.1252996202
620	0.1252255189
621	0.1251751029
622	0.1250760245
623	0.1250290955
624	0.1249889196
625	0.1249486061
626	0.1249022482
627	0.1247935449
628	0.1247674153
629	0.124675027
630	0.1246433888
631	0.1246086585
632	0.124607628
633	0.1245537405
634	0.1245499953
635	0.1245207707
636	0.1244649241
637	0.1243973437
638	0.124356335
639	0.1243158441
640	0.1242578698
641	0.1242396367
642	0.1241997974
643	0.124114328
644	0.124085385
645	0.1240445738
646	0.1240072013
647	0.1239752743
648	0.123902096
649	0.12387646
650	0.1238112703
651	0.1238101842
652	0.1237641192
653	0.1237037542
654	0.1236496426
655	0.123578724
656	0.1235496659
657	0.1234996297
658	0.1234829413
659	0.1233815145
660	0.1232989768
661	0.123223876
662	0.123165994
663	0.1231445903
664	0.1231261558
665	0.123093256
666	0.1230908522
667	0.1230516505
668	0.1229953548
669	0.1229602783
670	0.1229250591
671	0.1229109384
672	0.1228595705
673	0.1228115472
674	0.1227671841
675	0.1227292959
676	0.1226946624
677	0.1226561631
678	0.1225898845
679	0.1225704126
680	0.1225331657
681	0.1225176236
682	0.1224915324
683	0.1224637525
684	0.1224386843
685	0.1224017247
686	0.1223293832
687	0.1222967858
688	0.122255337
689	0.1221701966
690	0.122138834
691	0.1221193145
692	0.1220902721
693	0.1220605735
694	0.1220184236
695	0.1219857023
696	0.1219221968
697	0.1218924537
698	0.1218643921
699	0.1218101013
700	0.1218079943
701	0.1217985952
702	0.1217527046
703	0.1217165875
704	0.1216941519
705	0.1216430764
706	0.1216257507
707	0.1215764811
708	0.1215294615
709	0.1214282759
710	0.1214037703
711	0.1213631834
712	0.1213241347
713	0.1213212438
714	0.1212914943
715	0.1212878758
716	0.1212769948
717	0.1212368732
718	0.121200772
719	0.1211684388
720	0.1211528772
721	0.1211140519
722	0.1210813167
723	0.1210462588
724	0.1210278948
725	0.1209907159
726	0.1209441258
727	0.1208795644
728	0.1208772705
729	0.1208161379
730	0.1207391902
731	0.1207042263
732	0.1206118678
733	0.1205547686
734	0.1205080924
735	0.1204940059
736	0.1204627513
737	0.1204255699
738	0.1203595968
739	0.120307778
740	0.1202643623
741	0.12023132
742	0.1202003593
743	0.1201168114
744	0.1200961933
745	0.1200767431
746	0.1200660111
747	0.1200401989
748	0.1199937264
749	0.1199528881
750	0.1198141876
751	0.1197996809
752	0.1197835806
753	0.1197546243
754	0.1197100649
755	0.1196918875
756	0.1196812414
757	0.1196212925
758	0.1195673853
759	0.11952632
760	0.1195212669
761	0.1194766277
762	0.1194074576
763	0.1194009798
764	0.119336329
765	0.1193053837
766	0.1192806997
767	0.1192349013
768	0.1192239903
769	0.1191627197
770	0.119157418
771	0.1190858492
772	0.119085327
773	0.119045158
774	0.119027984
775	0.1189872409
776	0.1189838659
777	0.118931832
778	0.1188653327
779	0.1188394481
780	0.118832572
781	0.118777221
782	0.1187207589
783	0.1186317297
784	0.1185565146
785	0.1185278212
786	0.1184212641
787	0.118371915
788	0.1182847291
789	0.1182650955
790	0.1181976662
791	0.1181793405
792	0.1181494056
793	0.1181145961
794	0.1180885354
795	0.1180266473
796	0.1180060117
797	0.117999099
798	0.1179448487
799	0.1179124674
