feature,importance
tfidf_комфорт класса,0.09687095138363118
tfidf_студия,0.0959312825208174
tfidf_возможность,0.09519892860547495
tfidf_года,0.09398347115648278
tfidf_территория,0.0927907248214427
tfidf_этаже,0.09207114997271121
tfidf_аптеки,0.09155592967725308
is_last_floor,0.0915038902932571
tfidf_потолки,0.09145565199536387
tfidf_для жизни,0.09056290774629407
tfidf_школы,0.0904673810471423
tfidf_чистый,0.08989080378458864
tfidf_проходит,0.08900964288979257
tfidf_комнаты изолированы,0.08808228268877111
tfidf_без,0.08655897863497625
tfidf_улучшенная комнаты,0.0860950117958659
tfidf_продам,0.0850148294043275
tfidf_транспортная,0.08492934731147463
tfidf_вариант,0.08416758427817561
tfidf_улучшенная,0.08320771859541001
tfidf_city,0.08319354006668665
tfidf_новая сантехника,0.08310222500013834
tfidf_необходимое для,0.08267307711786093
tfidf_преимущества,0.08230230267342913
tfidf_как,0.08115329400790783
tfidf_918,0.08108395560870647
tfidf_м²,0.07964871090165214
tfidf_расположение,0.0795965593052554
tfidf_здесь,0.07927835258682318
tfidf_кв,0.07895318967603401
tfidf_продажа,0.0788711239973942
tfidf_вся,0.07853684763298076
tfidf_изолированы,0.07829420291270452
tfidf_изолированы встроенная,0.07799733407428777
tfidf_счётчики тихий,0.07768181450893524
tfidf_уютная,0.07608092584529723
tfidf_жить,0.07504910642418136
tfidf_во,0.07409746627093934
tfidf_локация,0.07218592703781444
tfidf_детские сады,0.0717645226806138
tfidf_тех,0.07160762375592121
tfidf_пространство,0.0701234472179743
tfidf_ипотеку,0.06934203081558761
tfidf_всё,0.0692147691778118
tfidf_себя,0.06885291934773462
tfidf_12,0.06881951559705142
tfidf_вложений,0.0675595073781632
tfidf_счётчики,0.0646425944931757
tfidf_комплекс,0.06458868162038629
tfidf_доступности,0.06443375760892596
tfidf_продаётся,0.06367461341056117
tfidf_застройщик,0.06307620160351902
tfidf_удобный,0.06234203641576556
tfidf_парк,0.06207318030186413
tfidf_комфортной жизни,0.06199790200259697
tfidf_инвестиций,0.061345495538559475
tfidf_место,0.061072408531982675
tfidf_комнатную,0.06081976152637471
tfidf_полноценная,0.06048545479632001
tfidf_развитая,0.06012478229017143
tfidf_подходит,0.05994809373194875
tfidf_всего,0.059669170547672866
tfidf_монолитный,0.05959824323977362
tfidf_кто,0.05947886446621698
tfidf_комплексе,0.05930713206875431
tfidf_удобная,0.05903036055766887
tfidf_студия встроенная,0.05849155489116443
tfidf_большой,0.05783370118779183
tfidf_площадка,0.05782849130784857
tfidf_уюта,0.057268328125421146
tfidf_большая,0.05710245739617274
tfidf_сантехника счётчики,0.05691006087781455
tfidf_класс,0.055900829765803524
tfidf_трц,0.0544678408790361
tfidf_паркинг,0.05429550209752059
tfidf_заезжай живи,0.05410793464777437
tfidf_15,0.05379514731958773
tfidf_высота,0.05231083687279586
tfidf_прямо,0.05172728187399868
tfidf_спортивные,0.05056711121198842
tfidf_удобно,0.05051730717399274
